#
# King model for M15: W0 = 8.2, rt = 13.08 arcmin,
# central surface density = 28000 stars/arcmin^2,
# background = 0.10 stars/arcmin^2
# 
# Column 1: log10(r) in arcmin
# Column 2: log10(Sigma) in stars/arcmin^2
#
  log_r             log_Sigma
  -3.77807450       4.42813635    
  -3.37807560       4.42813444    
  -2.97807550       4.42811823    
  -2.57807565       4.42801857    
  -2.17807508       4.42737103    
  -1.77807450       4.42370939    
  -1.74607289       4.42300510    
  -1.71407211       4.42219114    
  -1.68207228       4.42124844    
  -1.65007210       4.42015839    
  -1.61806989       4.41889954    
  -1.58607042       4.41744280    
  -1.55406785       4.41576052    
  -1.52206671       4.41381741    
  -1.49006617       4.41157579    
  -1.45806468       4.40899086    
  -1.42606461       4.40601110    
  -1.39406300       4.40258121    
  -1.36206245       4.39863682    
  -1.33006227       4.39410448    
  -1.29806054       4.38890362    
  -1.26605928       4.38294744    
  -1.23405874       4.37613392    
  -1.20205808       4.36835861    
  -1.17005706       4.35950375    
  -1.13805628       4.34944391    
  -1.10605550       4.33804607    
  -1.07405388       4.32517481    
  -1.04205346       4.31068707    
  -1.01005220       4.29444313    
 -0.978051424       4.27630281    
 -0.946050227       4.25613642    
 -0.914049029       4.23382664    
 -0.882048368       4.20926905    
 -0.850047350       4.18238544    
 -0.818046510       4.15312386    
 -0.786045492       4.12145758    
 -0.754046142       4.08739614    
 -0.722043633       4.05098391    
 -0.690042973       4.01229239    
 -0.658042908       3.97143173    
 -0.626041949       3.92853236    
 -0.594038725       3.88374734    
 -0.562038302       3.83725309    
 -0.530038953       3.78922486    
 -0.498036861       3.73984814    
 -0.466036528       3.68930769    
 -0.434034973       3.63777304    
 -0.402034044       3.58539939    
 -0.370032996       3.53232956    
 -0.338031560       3.47869420    
 -0.306030810       3.42459917    
 -0.274030536       3.37012458    
 -0.242029518       3.31532145    
 -0.210027605       3.26023221    
 -0.178027377       3.20487428    
 -0.146025941       3.14925265    
 -0.114025064       3.09334707    
  -8.20243135E-02   3.03713322    
  -5.00233956E-02   2.98056316    
  -1.80221684E-02   2.92359495    
   1.39785642E-02   2.86615825    
   4.59797569E-02   2.80815601    
   7.79804811E-02   2.74949408    
  0.109981574       2.69006133    
  0.141982600       2.62974453    
  0.173983559       2.56841826    
  0.205984265       2.50594640    
  0.237985730       2.44218111    
  0.269986629       2.37696290    
  0.301987976       2.31012177    
  0.333986759       2.24147320    
  0.365988135       2.17082405    
  0.397990167       2.09798932    
  0.429990917       2.02278638    
  0.461992502       1.94490004    
  0.493992001       1.86393607    
  0.525993109       1.77952945    
  0.557995081       1.69126284    
  0.589995563       1.59865594    
  0.621996582       1.50114894    
  0.653998077       1.39808393    
  0.685999036       1.28868103    
  0.717999697       1.17201531    
  0.750000477       1.04698563    
  0.782001019      0.912360668    
  0.814002991      0.766767323    
  0.846003473      0.607884586    
  0.878004193      0.432262868    
  0.910005629      0.236226499    
  0.942006052       1.55276870E-02
  0.974007189     -0.232961431    
   1.00600827     -0.501458526    
   1.03800929     -0.757680953    
   1.07001030     -0.937384605    
   1.10201132     -0.996681809    
   1.13401198      -1.00000000    
   1.16601324      -1.00000000    
   1.19801414      -1.00000000    
   2.00000000      -1.00000000    
