#
# Number weighted l.o.s. dispersion of M15 (NGC 7078)
#
# Column 1: r [arcmin]
# Column 2: l.o.s. velocity dispersion [km/s]
# Column 3: upper error [km/s]
# Column 4: lower error [km/s]
# Data from Baumgardt 2017 MNRAS 464, 2174 and
#           Baumgardt & Hilker 2018 MNRAS 478, 1520
#
r       losvd   errP   errM
0.0395  12.51   0.83   0.77
0.0903  11.13   0.78   0.72
0.1293  11.78   0.79   0.72
0.1712  11.10   0.73   0.67
0.2342  11.55   0.73   0.67
0.2882  10.28   0.65   0.60
0.3433  10.56   0.68   0.61
0.4002  11.62   0.74   0.68
0.4582  9.67    0.62   0.56
0.5243  10.37   0.66   0.60
0.5930  9.43    0.60   0.55
0.6592  9.26    0.60   0.54
0.7340  8.29    0.54   0.50
0.8168  8.44    0.55   0.51
0.9010  9.10    0.74   0.66
1.0503  7.51    0.61   0.54
1.3747  7.31    0.60   0.54
2.2157  6.08    0.47   0.42
3.3547  4.86    0.38   0.35
5.4127  3.20    0.28   0.26
10.294  4.11    0.44   0.39
