JDTDB,dateTDB,X,Y,Z,Xearth,Yearth,Zearth
2427619.5,1934-Jul-01,9.011183414111128E-02,-9.398569229487573E-01,3.498209284194794E-03,1.658253864386623E-01,-1.003083529090683E+00,-1.469265910072316E-04
2427629.5,1934-Jul-11,2.691715177814018E-01,-9.183105271841246E-01,1.234709480486813E-04,3.296477949704735E-01,-9.616967783521769E-01,-1.388513907816253E-04
2427639.5,1934-Jul-21,4.392233774274727E-01,-8.658462366982705E-01,-3.256153739687536E-03,4.842061115428117E-01,-8.932860689331732E-01,-1.268681201352576E-04
2427649.5,1934-Jul-31,5.951793325033998E-01,-7.854612388513198E-01,-6.528904432231085E-03,6.251344145189813E-01,-7.997340212739126E-01,-1.113095450084817E-04
2427659.5,1934-Aug-10,7.328918967247692E-01,-6.808637857700423E-01,-9.579222765916993E-03,7.484133203344692E-01,-6.836078262383347E-01,-9.260742221159266E-05
2427669.5,1934-Aug-20,8.492227715768811E-01,-5.561647023615678E-01,-1.217728468505063E-02,8.504726037103317E-01,-5.481046743715965E-01,-7.128581728440353E-05
2427679.5,1934-Aug-30,9.416773570444893E-01,-4.155726979783676E-01,-1.414032297560866E-02,9.282881496137161E-01,-3.969827866320085E-01,-4.794519669182421E-05
2427689.5,1934-Sep-09,1.008590756811485E+00,-2.636044565937689E-01,-1.563663037553172E-02,9.794713970188635E-01,-2.344775835783210E-01,-2.324369896495973E-05
2427699.5,1934-Sep-19,1.049190868038077E+00,-1.047069756619566E-01,-1.670652205489289E-02,1.002349002994297E+00,-6.520259813072278E-02,2.114876215396237E-06
2427709.5,1934-Sep-29,1.063346334887204E+00,5.686464287676966E-02,-1.734927112682427E-02,9.960296489065262E-01,1.059649083541743E-01,2.739698145702057E-05
2427719.5,1934-Oct-09,1.051484512471153E+00,2.170709196118388E-01,-1.756505975757672E-02,9.604543499007181E-01,2.740128266026647E-01,5.185957079548054E-05
2427729.5,1934-Oct-19,1.014522099780666E+00,3.721152097100844E-01,-1.736040962192378E-02,8.964263498093608E-01,4.339357810572404E-01,7.477180681788187E-05
2427739.5,1934-Oct-29,9.538053877019852E-01,5.184616893650754E-01,-1.674871973823137E-02,8.056166137205573E-01,5.808863963747042E-01,9.543713195464288E-05
