Name,H,a,e,i,Omega,peri,M,n,Epoch
(588) Achilles,8.28,5.2096551,0.1482778,10.31981,316.53594,133.68481,354.42744,0.0828878,2023.150684931507
(617) Patroclus,8.29,5.2088608,0.1398841,22.06241,44.36035,308.30581,319.50648,0.08290676,2023.150684931507
(624) Hektor,7.44,5.270636,0.0229989,18.15479,342.78854,180.00686,288.41483,0.08145346,2023.150684931507
(659) Nestor,8.77,5.1681892,0.1166901,4.52244,350.74294,344.06598,98.36873,0.08388735,2023.150684931507
(884) Priamus,8.71,5.1995458,0.1254768,8.90353,301.54717,336.55475,47.2545,0.08312965,2023.150684931507
(911) Agamemnon,7.99,5.2823449,0.067567,21.76184,338.00812,81.49465,21.94768,0.08118278,2023.150684931507
(1143) Odysseus,8.37,5.2369524,0.0918131,3.14153,221.22495,237.75051,330.80234,0.08224057,2023.150684931507
(1172) Aneas,8.28,5.229202,0.1066629,16.65298,247.2891,51.25347,27.00771,0.08242348,2023.150684931507
(1173) Anchises,8.9,5.2790197,0.1390455,6.92553,283.90894,41.36713,329.61138,0.0812595,2023.150684931507
(1208) Troilus,8.92,5.2521562,0.0927491,33.54341,48.55285,295.73146,337.16776,0.08188373,2023.150684931507
(1404) Ajax,9.35,5.2852772,0.113761,18.03051,332.8785,61.6991,31.30312,0.08111523,2023.150684931507
(1437) Diomedes,8.24,5.216839,0.045799,20.47037,315.79187,128.9934,25.76605,0.08271665,2023.150684931507
(1583) Antilochus,8.58,5.1436736,0.0539179,28.49053,221.37701,187.50925,49.26783,0.08448779,2023.150684931507
(1647) Menelaus,10.53,5.2093499,0.0223032,5.65178,240.30155,293.58875,255.98975,0.08289508,2023.150684931507
(1749) Telamon,9.5,5.1412435,0.1092477,6.0986,340.84301,113.8087,341.22396,0.0845477,2023.150684931507
(1867) Deiphobus,8.44,5.1349387,0.0461972,26.90012,283.70593,0.77869,38.3688,0.08470347,2023.150684931507
(1868) Thersites,9.53,5.3121104,0.1099674,16.75374,197.78549,171.21284,61.25967,0.0805014,2023.150684931507
(1869) Philoctetes,11.17,5.183176,0.0668372,3.97423,43.8364,326.50057,49.23274,0.08352378,2023.150684931507
(1870) Glaukos,10.64,5.2422916,0.0338289,6.578,176.3031,131.76198,2.05472,0.08211497,2023.150684931507
(1871) Astyanax,11.28,5.227887,0.0346436,8.60685,145.77247,166.72186,330.68133,0.08245458,2023.150684931507
(1872) Helenos,10.78,5.3226244,0.0496644,14.6409,188.77614,115.78149,12.31398,0.08026299,2023.150684931507
(1873) Agenor,10.2,5.2269615,0.0910588,21.88335,197.91462,357.96272,108.29314,0.08247648,2023.150684931507
(2146) Stentor,9.98,5.1910199,0.1023371,39.28351,131.32539,274.5488,27.26672,0.08333454,2023.150684931507
(2148) Epeios,10.85,5.2191254,0.0585522,9.14787,176.55255,232.81221,31.47166,0.0826623,2023.150684931507
(2207) Antenor,8.97,5.169366,0.0124579,6.80254,159.02814,303.27311,226.8535,0.08385871,2023.150684931507
(2223) Sarpedon,9.22,5.2559635,0.0190642,15.93925,220.80665,55.65354,50.89984,0.08179478,2023.150684931507
(2241) Alcathous,8.61,5.177241,0.0658861,16.62779,267.99766,292.92637,103.58525,0.08366744,2023.150684931507
(2260) Neoptolemus,9.39,5.1995186,0.04526,17.77477,86.58003,322.08168,31.1729,0.0831303,2023.150684931507
(2357) Phereclos,9.06,5.2251781,0.0473363,2.66886,179.17113,77.27205,66.03465,0.08251871,2023.150684931507
(2363) Cebriones,8.93,5.2285531,0.0390759,32.09218,211.65995,56.34328,67.10752,0.08243882,2023.150684931507
(2456) Palamedes,9.36,5.1315835,0.0755535,13.91359,327.36143,95.72768,18.33777,0.08478655,2023.150684931507
(2594) Acamas,11.99,5.0592948,0.0860606,5.53652,356.69494,280.64293,36.80056,0.08661021,2023.150684931507
(2674) Pandarus,9.23,5.1982459,0.0694003,1.85532,179.69648,42.64896,98.93036,0.08316084,2023.150684931507
(2759) Idomeneus,10.08,5.1953631,0.0651264,21.9373,171.22006,7.68998,268.97176,0.08323006,2023.150684931507
(2797) Teucer,8.87,5.1106123,0.0888742,22.38572,69.93925,48.23594,328.66312,0.08530896,2023.150684931507
(2893) Peiroos,9.07,5.1419944,0.0771774,14.66613,108.77981,173.17419,24.78864,0.08452918,2023.150684931507
(2895) Memnon,10.08,5.2442271,0.0492722,27.20634,133.96173,274.65381,271.00734,0.08206951,2023.150684931507
(2920) Automedon,8.83,5.1133886,0.028128,21.11225,230.94761,198.11936,14.43905,0.0852395,2023.150684931507
(3063) Makhaon,8.61,5.2202821,0.0593368,12.15854,287.88496,203.7269,319.01799,0.08263483,2023.150684931507
(3240) Laocoon,10.34,5.2228943,0.1281922,2.33689,296.293,16.24535,352.14535,0.08257284,2023.150684931507
(3317) Paris,8.46,5.2275878,0.1289633,27.86249,135.91074,150.79802,33.6265,0.08246166,2023.150684931507
(3391) Sinon,10.39,5.2957039,0.0839434,14.87957,341.08073,104.24301,345.16115,0.08087579,2023.150684931507
(3451) Mentor,8.49,5.1728652,0.0748922,24.63863,179.55816,131.43502,28.67565,0.08377363,2023.150684931507
(3540) Protesilaos,9.44,5.2818717,0.1175106,23.28366,26.43448,115.96924,301.6274,0.08119369,2023.150684931507
(3548) Eurybates,9.85,5.2063308,0.0909252,8.05426,43.54168,27.48125,27.50718,0.0829672,2023.150684931507
(3564) Talthybius,9.51,5.2005452,0.0386287,15.50724,23.76688,202.13862,202.75047,0.08310569,2023.150684931507
(3596) Meriones,9.31,5.1816743,0.0750487,23.51932,356.68319,66.52513,31.33047,0.08356009,2023.150684931507
(3708) Socus,9.42,5.2101617,0.1595618,13.37196,291.17514,57.87635,325.61156,0.08287571,2023.150684931507
(3709) Polypoites,9.15,5.2251269,0.0622213,19.64204,187.08017,248.53185,349.55201,0.08251992,2023.150684931507
(3793) Leonteus,8.81,5.2225404,0.090583,20.89511,200.51652,262.43955,344.39115,0.08258123,2023.150684931507
(3794) Sthenelos,10.54,5.2078361,0.147236,6.06379,343.18082,36.40215,62.4201,0.08293123,2023.150684931507
(3801) Thrasymedes,11.12,5.323167,0.023896,28.49693,209.46924,207.60119,12.79781,0.08025072,2023.150684931507
(4007) Euryalos,10.41,5.1849519,0.0575444,10.99848,6.74811,77.37242,4.86236,0.08348087,2023.150684931507
(4035) Thestor,9.61,5.2796589,0.0576768,12.13286,233.70688,199.09629,358.17794,0.08124474,2023.150684931507
(4057) Demophon,10.23,5.2431233,0.1201382,2.87335,24.27721,60.5424,343.65488,0.08209543,2023.150684931507
(4060) Deipylos,9.44,5.2327703,0.1563704,16.16448,168.19551,308.24108,314.08886,0.08233919,2023.150684931507
(4063) Euforbo,8.76,5.1898483,0.1198263,18.93867,113.52068,318.69598,14.77713,0.08336276,2023.150684931507
(4068) Menestheus,9.66,5.1387487,0.0750709,17.57079,177.66158,317.09711,294.69109,0.08460928,2023.150684931507
(4086) Podalirius,9.24,5.2718541,0.1226257,21.68416,54.96263,356.97961,41.38213,0.08142523,2023.150684931507
(4138) Kalchas,10.15,5.1726205,0.044683,2.09775,208.00271,166.54967,72.32707,0.08377958,2023.150684931507
(4348) Poulydamas,9.7,5.2351116,0.0984078,7.96183,220.12013,159.90316,290.50719,0.08228395,2023.150684931507
(4489) Dracius,9.16,5.1926295,0.0619944,22.23985,86.43681,9.29668,321.96552,0.08329579,2023.150684931507
(4501) Eurypylos,10.57,5.2221955,0.0544563,8.2948,244.27091,180.15013,30.42661,0.08258941,2023.150684931507
(4543) Phoinix,9.83,5.1396269,0.0978127,14.70406,325.38511,85.17118,53.04378,0.0845876,2023.150684931507
(4707) Khryses,10.76,5.1957306,0.12234,7.09345,310.15977,66.29041,307.25724,0.08322123,2023.150684931507
(4708) Polydoros,10.13,5.2441398,0.0611515,6.9907,281.16276,103.53831,271.84629,0.08207156,2023.150684931507
(4709) Ennomos,8.71,5.2678326,0.0234106,25.41612,253.07979,78.09007,0.30709,0.08151849,2023.150684931507
(4715) Medesicaste,9.86,5.1125629,0.0507795,18.65704,1.59947,344.44629,335.55448,0.08526015,2023.150684931507
(4722) Agelaos,10.2,5.2018933,0.1124306,8.81909,64.98708,315.38057,291.32419,0.08307339,2023.150684931507
(4754) Panthoos,10.15,5.27496,0.0108968,12.3107,154.94867,177.14545,357.94444,0.08135333,2023.150684931507
(4791) Iphidamas,10.15,5.1570085,0.0458862,25.9761,261.4685,163.75338,245.63799,0.08416031,2023.150684931507
(4792) Lykaon,10.26,5.2509179,0.0924726,9.34043,61.92315,283.95385,321.60066,0.0819127,2023.150684931507
(4805) Asteropaios,10.17,5.1984698,0.0919304,12.02156,278.38627,90.37119,294.6936,0.08315546,2023.150684931507
(4827) Dares,10.63,5.1324037,0.0438057,7.69967,242.01542,167.67561,275.24856,0.08476623,2023.150684931507
(4828) Misenus,10.53,5.1632892,0.0411343,14.90312,352.98068,128.88526,187.62632,0.08400679,2023.150684931507
(4829) Sergestus,11.32,5.1849214,0.0509843,8.58712,221.78832,119.20791,354.73878,0.08348161,2023.150684931507
(4832) Palinurus,10.07,5.2626425,0.1416627,19.06498,135.13602,209.83685,331.89843,0.08163911,2023.150684931507
(4833) Meges,9.05,5.2307881,0.0927965,34.72785,101.74122,281.59036,41.63681,0.08238599,2023.150684931507
(4834) Thoas,9.23,5.2042462,0.1375419,28.47355,75.97247,352.94815,358.48394,0.08301706,2023.150684931507
(4835) Asaeus,10.72,5.1936327,0.2523898,19.56672,125.44223,355.4556,326.10834,0.08327166,2023.150684931507
(4836) Medon,9.62,5.2157941,0.1091793,19.39339,82.05793,33.95626,335.32054,0.0827415,2023.150684931507
