# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mon Aug  7 13:50:02 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (default_flag = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and disc_facility like '%TESS%',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_orbsmaxstr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_radestr not null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_massestr not null),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN default_flag:   Default Parameter Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN disc_facility:  Discovery Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_refname:     Planetary Parameter Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbperlim:   Orbital Period Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radelim:     Planet Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masse:       Planet Mass [Earth Mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN ttv_flag:       Data show Transit Timing Variations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_radlim:      Stellar Radius Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_masslim:     Stellar Mass Limit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_dist:        Distance [pc],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_disterr1:    Distance [pc] Upper Unc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN sy_disterr2:    Distance [pc] Lower Unc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_name,default_flag,disc_facility,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,ttv_flag,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
GJ 143 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>,35.61253,0.0006,-0.00062,0,0.1915,0.0058,-0.0063,0,2.61,0.17,-0.16,0,22.7,2.2,-1.9,0,0.188,0.076,-0.078,0,0,0.69,0.03,-0.03,0,0.73,0.07,-0.07,0,16.32,0.0071,-0.0071
GJ 3090 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=ALMENARA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220714121A/abstract target=ref>Almenara et al. 2022</a>,2.853136,0.000064,-0.000038,0,0.03165,0.00027,-0.00027,0,2.13,0.11,-0.11,0,3.34,0.72,-0.72,0,0.32,,,1,0,0.52,0.02,-0.02,0,0.52,0.01,-0.01,0,22.4751,0.02605,-0.02605
GJ 3473 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KEMMER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.236K/abstract target=ref>Kemmer et al. 2020</a>,1.1980035,0.0000018,-0.0000019,0,0.01589,0.00062,-0.00062,0,1.264,0.05,-0.049,0,1.86,0.3,-0.3,0,0,,,0,0,0.36,0.01,-0.01,0,0.36,0.02,-0.02,0,27.3644,0.0376,-0.0376
GJ 357 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LUQUE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A..39L/abstract target=ref>Luque et al. 2019</a>,3.93072,0.00008,-0.00006,0,0.035,0.002,-0.002,0,1.217,0.084,-0.083,0,1.84,0.31,-0.31,0,,,,,0,0.34,0.01,-0.01,0,0.34,0.01,-0.01,0,9.44181,0.00511,-0.00511
GJ 367 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=LAM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...374.1271L/abstract target=ref>Lam et al. 2021</a>,0.321962,0.00001,-0.000012,0,0.0071,0.0002,-0.0002,0,0.718,0.054,-0.054,0,0.546,0.078,-0.078,0,0,,,0,0,0.46,0.01,-0.01,0,0.45,0.01,-0.01,0,9.41263,0.002835,-0.002835
GJ 3929 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BEARD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220710672B/abstract target=ref>Beard et al. 2022</a>,2.616235,0.000005,-0.000005,0,0.0252,0.0005,-0.0005,0,1.09,0.04,-0.04,0,1.75,0.44,-0.45,0,0,,,0,0,0.32,0.01,-0.01,0,0.31,0.03,-0.02,0,15.8095,0.0096,-0.0095
HD 110113 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.4842O/abstract target=ref>Osborn et al. 2021</a>,2.541,0.0005,-0.001,0,0.035,0.001,-0.001,0,2.05,0.12,-0.12,0,4.55,0.62,-0.62,0,0.093,0.079,-0.064,0,0,0.97,0.02,-0.02,0,1,0.06,-0.06,0,106.307,0.724,-0.715
HD 1397 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.100N/abstract target=ref>Nielsen et al. 2019</a>,11.53533,0.00079,-0.0008,0,0.1097,0.0011,-0.0013,0,11.5,0.28,-0.303,0,131.89945,6.3566,-6.3566,0,0.251,0.02,-0.019,0,0,2.34,0.05,-0.06,0,1.32,0.04,-0.05,0,79.5702,0.1738,-0.1731
HD 152843 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=EISNER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp.1332E/abstract target=ref>Eisner et al. 2021</a>,11.6264,0.0022,-0.0025,0,0.1053,0.003,-0.0031,0,3.41,0.14,-0.12,0,11.56,6.58,-6.14,0,0.14,0.25,-0.1,0,0,1.43,0.02,-0.02,0,1.15,0.04,-0.04,0,107.898,0.318,-0.316
HD 15337 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,4.75615,0.00017,-0.00017,0,0.0522,0.0012,-0.0012,0,1.64,0.06,-0.06,0,7.51,1.09,-1.01,0,0.09,0.05,-0.05,0,0,0.86,0.02,-0.02,0,0.9,0.03,-0.03,0,44.8155,0.0707,-0.0704
HD 15337 c,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=GANDOLFI_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...876L..24G/abstract target=ref>Gandolfi et al. 2019</a>,17.1784,0.0016,-0.0016,0,0.1268,0.0038,-0.0038,0,2.39,0.12,-0.12,0,8.11,1.82,-1.69,0,0.05,0.06,-0.04,0,0,0.86,0.02,-0.02,0,0.9,0.03,-0.03,0,44.8155,0.0707,-0.0704
HD 183579 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=PALATNICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJ...909L...6P/abstract target=ref>Palatnick et al. 2021</a>,17.471278,0.000058,-0.00006,0,0.1334,0.0062,-0.0061,0,3.55,0.15,-0.12,0,19.7,4,-3.9,0,0.28,,,0,0,0.98,0.04,-0.03,0,1.03,0.03,-0.03,0,57.2651,0.1875,-0.1864
HD 18599 b,1,Transiting Exoplanet Survey Satellite (TESS),<a refstr=DESIDERA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221007933D/abstract target=ref>Desidera et al. 2022</a>,4.1374354,0.0000036,-0.0000037,0,0.048,0.0004,-0.0004,0,2.6,0.15,-0.13,0,24.1,7.1,-7.7,0,0.34,0.07,-0.09,0,0,0.77,0.02,-0.02,0,0.86,0.02,-0.02,0,38.5653,0.0366,-0.0366
