#
# CORALIE RVs for HD181234
# Source: Rickman et al. 2019, A&A, 625, 71
# 
# Edited to remove other stars and codes
#
# Col 1: RJD = Julian date JD-2400000 in days
# Col 2: RV = radial velocity in m/s
# Col 3: e_RV = rms RV uncertainty in m/s
#
RJD                    RV               e_RV
54284.67857878981      -46657.520661    3.549193
54290.745265219826     -46638.939618    4.701801
54293.75363251008      -46655.246737    3.445554
54351.57054845011      -46645.502838    4.184035
54943.91864268994      -46652.679700    3.304150
54984.76288146991      -46647.967868    5.495913
55099.53432834009      -46636.314375    3.424833
55378.76117026014      -46633.288464    2.969571
55380.605449290015     -46624.140057    3.699752
55669.90680705011      -46618.718315    3.204924
55709.88144790009      -46627.876881    4.006601
55843.52631236985      -46605.288812    4.228462
56040.87944612         -46591.458957   11.155713
56110.67057021987      -46600.759984    3.923011
56214.51263060002      -46567.583861    9.322297
56438.85667522019      -46594.409003    3.892916
56492.7094074199       -46582.562076    5.077648
56794.93081567017      -46570.117840    3.026060
56799.810676210094     -46560.182154    3.752320
56845.59425526997      -46557.207707    4.327804
57202.64465186         -46528.806100    4.307885
57263.62688422995      -46529.373801    4.966489
57321.5048169801       -46532.959162    4.799606
57619.679548379965     -46612.755831    6.926515
57664.53905620985      -46662.533374    3.116427
57667.49594805017      -46666.937788    2.804702
57672.52498662984      -46665.473146    2.964856
57673.51824665023      -46667.040520    4.317794
57675.53094465006      -46670.061577    3.153090
57688.503376880195     -46670.562509    2.910162
57713.52036496997      -46703.694270    4.189284
57857.87147573987      -46777.747655    3.337089
57893.85109360982      -46780.036250    3.137466
57903.81699575996      -46782.139804    3.347042
57905.66990124993      -46778.558338    3.363936
57923.76912888978      -46780.866226    3.377044
57924.780472999904     -46782.034616    3.263412
57935.588331419975     -46778.395396    3.484032
57935.873660650104     -46784.409183    3.741523
57937.66791458987      -46786.859325    3.373497
57951.74406635016      -46778.697954    6.779853
57958.78346375981      -46787.795063    4.016643
57964.55961292004      -46775.031493    3.585163
57965.628308970015     -46785.544459    4.155027
57966.55744743021      -46789.803880    5.534781
57967.61496001994      -46783.408000    3.380993
57969.62908094004      -46781.174514    3.370538
57973.66078827996      -46778.177040    3.143293
57975.603424480185     -46792.093082    5.211062
57981.501308689825     -46786.614289    3.252622
57982.61594806984      -46775.243815    3.201435
58003.67307210015      -46787.236995    5.206577
58010.662336559966     -46776.960310    7.942896
58027.60815007985      -46770.827068    7.795237
58028.583647610154     -46772.309152    8.034641
58040.51986801019      -46776.630091    4.652066
58047.49565012008      -46770.151006    5.172037
58054.5268426002       -46782.864717    6.612305
58067.506557229906     -46780.657807    4.800127
58213.8863213202       -46763.269906    3.229725
58224.900590740144     -46750.672488    3.616208
58275.84279013006      -46770.512780    5.911253
58277.72578532994      -46755.772844    5.419004
58288.71333990991      -46765.297765    4.839619
58307.7411493198       -46758.837396    3.142268
58308.63742838986      -46765.865058    3.602812
58310.7254001298       -46757.505826    3.460352
58366.618065639865     -46755.766020    4.713333
58367.567344290204     -46746.893444    4.488796
58372.64104710985      -46762.498386    5.115965
58382.58076811023      -46749.490001    4.925759
58387.521463130135     -46755.706757    7.956049
58394.58608738007      -46759.060376    5.253352
58398.49679974979      -46751.066101    4.380091
58401.58321401011      -46752.114990    3.989912
58410.54723958997      -46752.518493    3.378488
58411.52796653006      -46749.693574    3.607487
58419.500422180165     -46748.171320    3.439940
58565.86703540012      -46747.982471    5.221051
51694.89113755012      -46729.986597    5.105698
51749.717530969996     -46741.114255    4.428070
51759.681682699826     -46735.674031    5.195601
51782.665519900154     -46712.653020    8.112716
51810.62482657004      -46728.939661    5.052354
53261.62002786016      -46689.420542    4.257077
53264.598638319876     -46692.695809    3.994590
53269.532506870106     -46699.867516   11.960235
53543.7479732302       -46675.470207    3.634300
53587.70238581998      -46692.376162    5.104175
53630.56459290022      -46665.859589    4.127706
53905.82011853019      -46661.664461    6.612797
54004.58889285009      -46669.576536    8.168931
54030.58097977005      -46655.559344    9.383377
54038.56989726005      -46677.936518    7.506691
