#
# Kepler-419b transit timing variations
# Source: Dawson et al. 2014, ApJ, 791, 89 Figure 1
#         Provided by Rebekah Dawson (Penn State University)
#
# Column 1: Time (days), x-axis
# Column 2: O-C (hours), y-axis
# Column 3: Upper error bar on y value (hours)
# Column 4: Lower error bar on y value (hours)
#
Time          O-C             errHi           errLo
126.33077     -0.88285218     0.023644099     0.021350114
196.06055     -0.79872269     0.014985955     0.014409193
265.76606      -1.2970680     0.013905089     0.014104306
335.57659      0.72490983     0.013257946     0.013403811
405.31543       1.0264731     0.013636118     0.013635849
475.00773      0.21113400     0.036607450     0.070803593
544.72622     0.024322478     0.013591071     0.013593513
614.45606      0.10986599     0.013205498     0.013490967
684.18782      0.24135388     0.013181082     0.013231086
753.91898      0.35858436     0.016924206     0.018162779
823.64335      0.31285949     0.010008686    0.0099352434
893.34984     -0.16199269     0.010696894     0.010794312
963.03908      -1.0507553     0.013327174     0.012113229
1102.6198       2.0254143     0.010477111     0.010661021
1172.3055       1.0511543    0.0094835582    0.0096032517
1242.0125      0.58915372     0.010541718     0.010591886
1311.7272      0.31108233     0.011006799     0.011134757
1381.4428     0.055421174     0.010672056     0.010941518
1451.1566     -0.24381002     0.010807955     0.010715549
1520.8606     -0.77979317    0.0099549191    0.0096486479
1590.5432      -1.8267349     0.013670235     0.013863041
