#  
# Kepler-88 TTV from Holczer et al. 2016, ApJS, 225, 9
# Data from VizieR for KOI-142 = Kepler-88, edited for use here
#
# col 1: N = transit number
# col 2: tn = expected mid-transit BJD in days
# col 3: O-C = observed - expected mid-transit time in minutes
# col 4: e_O-C: error on O-C in minutes
#
 N    tn          O-C        e_O-C
  0   54.675215   583.3000   2e+00
  1   65.628293   543.6000   2e+00
  2   76.581371   504.2000   2e+00
  3   87.534450   456.6000   2e+00
  5  109.440606   365.8000   2e+00
  6  120.393685   311.8000   2e+00
  7  131.346763   260.4000   2e+00
  8  142.299841   204.1000   2e+00
  9  153.252920   152.2000   2e+00
 11  175.159076    35.5000   2e+00
 12  186.112155   -25.5000   2e+00
 13  197.065233   -88.1000   2e+00
 14  208.018311  -149.1000   2e+00
 15  218.971390  -212.2000   2e+00
 16  229.924468  -273.6000   2e+00
 17  240.877546  -338.3000   2e+00
 18  251.830625  -396.6000   2e+00
 19  262.783703  -460.7000   2e+00
 20  273.736781  -512.5000   2e+00
 22  295.642938  -610.4000   2e+00
 23  306.596016  -655.0000   2e+00
 25  328.502173  -709.9000   2e+00
 26  339.455252  -713.7000   2e+00
 27  350.408330  -720.4000   2e+00
 28  361.361408  -703.5000   2e+00
 29  372.314487  -687.1000   2e+00
 30  383.267565  -646.6000   2e+00
 31  394.220643  -602.7000   2e+00
 32  405.173722  -544.5000   2e+00
 33  416.126800  -482.2000   2e+00
 34  427.079878  -404.8000   2e+00
 35  438.032957  -315.3000   2e+00
 36  448.986035  -232.6000   2e+00
 37  459.939113  -126.1000   2e+00
 38  470.892192   -46.2000   3e+00
 39  481.845270    73.9000   2e+00
 40  492.798348   153.0000   2e+00
 41  503.751427   267.2000   2e+00
 42  514.704505   337.3000   2e+00
 43  525.657583   441.4000   2e+00
 44  536.610662   498.1000   2e+00
 45  547.563740   583.4000   2e+00
 46  558.516818   622.7000   2e+00
 47  569.469897   691.4000   2e+00
 48  580.422975   705.2000   2e+00
 49  591.376053   745.6000   2e+00
 50  602.329132   739.9000   2e+00
 51  613.282210   754.9000   2e+00
 52  624.235288   734.8000   2e+00
 53  635.188367   723.5000   2e+00
 54  646.141445   686.8000   2e+00
 57  679.000680   582.6000   2e+00
 58  689.953758   528.6000   2e+00
 59  700.906837   480.4000   2e+00
 60  711.859915   423.3000   2e+00
 61  722.812993   366.8000   2e+00
 62  733.766072   317.2000   2e+00
 63  744.719150   261.3000   2e+00
 64  755.672228   208.0000   2e+00
 65  766.625307   154.6000   2e+00
 66  777.578385   103.1000   2e+00
 67  788.531463    46.8000   2e+00
 68  799.484542    -4.5000   2e+00
 69  810.437620   -55.0000   2e+00
 70  821.390698  -107.6000   2e+00
 71  832.343777  -151.4000   2e+00
 72  843.296855  -196.9000   2e+00
 73  854.249933  -246.3000   2e+00
 74  865.203012  -288.4000   2e+00
 75  876.156090  -333.6000   2e+00
 76  887.109168  -377.4000   2e+00
 77  898.062247  -412.4000   2e+00
 78  909.015325  -456.2000   2e+00
 79  919.968403  -485.1000   2e+00
 80  930.921482  -528.9000   2e+00
 81  941.874560  -552.8000   2e+00
 82  952.827638  -571.7000   2e+00
 83  963.780717  -579.0000   2e+00
 84  974.733795  -592.9000   4e+00
 85  985.686873  -592.7000   2e+00
 87 1007.593030  -565.4000   2e+00
 88 1018.546108  -557.0000   2e+00
 89 1029.499187  -517.4000   2e+00
 90 1040.452265  -484.3000   2e+00
 92 1062.358422  -375.0000   2e+00
 93 1073.311500  -302.2000   2e+00
 94 1084.264578  -241.9000   2e+00
 96 1106.170735   -82.6000   2e+00
 97 1117.123813    -1.4000   2e+00
 98 1128.076892    84.3000   2e+00
 99 1139.029970   159.5000   2e+00
100 1149.983048   247.1000   2e+00
101 1160.936127   314.1000   2e+00
102 1171.889205   395.8000   2e+00
103 1182.842283   445.2000   2e+00
104 1193.795362   515.2000   2e+00
105 1204.748440   551.9000   2e+00
106 1215.701518   600.6000   2e+00
109 1248.560753   624.9000   2e+00
110 1259.513832   628.7000   2e+00
111 1270.466910   598.3000   2e+00
112 1281.419988   584.8000   2e+00
113 1292.373067   532.2000   2e+00
114 1303.326145   500.0000   2e+00
115 1314.279223   437.8000   2e+00
116 1325.232302   384.7000   2e+00
117 1336.185380   320.2000   2e+00
119 1358.091537   198.8000   2e+00
121 1379.997693    69.8000   2e+00
122 1390.950772     6.4000   2e+00
123 1401.903850   -46.9000   2e+00
125 1423.810007  -158.9000   2e+00
126 1434.763085  -212.2000   2e+00
127 1445.716163  -255.6000   2e+00
128 1456.669242  -305.8000   2e+00
129 1467.622320  -341.4000   2e+00
130 1478.575398  -381.6000   2e+00
131 1489.528477  -416.6000   2e+00
132 1500.481555  -446.6000   2e+00
133 1511.434633  -470.8000   2e+00
134 1522.387712  -495.3000   2e+00
