#
# WASP-12b TTV Data
#
# Source: Wong et al. 2022, AJ, 163, 175
#         Data provided by Ian Wong
#
# dP/dE = (-1.031+/-0.033)e-9 day/orbit (eqn 8c)
#
# Col 1: transit epoch [integer]
# Col 2: transit center time in BJD_TDB days
# Col 3: error in transit center time in days
# Col 4: O-C from linear ephemeris in minutes
#
Epoch    t_0              err_t0     O-C
-2371    2454515.52496    0.00043    -4.7311
-2077    2454836.40340    0.00028    -2.9645
-2073    2454840.76893    0.00062    -3.1753
-1798    2455140.90981    0.00042    -2.2688
-1792    2455147.45861    0.00043    -1.8578
-1777    2455163.83061    0.00032    -0.8302
-1769    2455172.56138    0.00036    -1.6693
-1735    2455209.66895    0.00046    -2.6473
-1734    2455210.76151    0.00041    -1.0044
-1716    2455230.40653    0.00024    -1.7585
-1694    2455254.41761    0.00043    -1.9601
-1474    2455494.52999    0.00074    -1.7015
-1470    2455498.89590    0.00079    -1.3650
-1460    2455509.80971    0.00037    -1.9136
-1459    2455510.90218    0.00031    -0.4003
-1452    2455518.54147    0.00040    -1.3271
-1430    2455542.55210    0.00040    -2.1768
-1430    2455542.55273    0.00029    -1.2696
-1386    2455590.57561    0.00071    -0.6361
-1379    2455598.21552    0.00035    -0.6701
-1377    2455600.39800    0.00030    -1.1859
-1376    2455601.49010    0.00024    -0.2054
-1374    2455603.67261    0.00029    -0.6780
-1356    2455623.31829    0.00039    -0.4817
-1124    2455876.52786    0.00027    0.0086
-1114    2455887.44198    0.00021    -0.0935
-1113    2455888.53340    0.00027    -0.0922
-1111    2455890.71635    0.00024    0.0688
-1099    2455903.81357    0.00032    0.3437
-1084    2455920.18422    0.00031    -0.5727
-1081    2455923.45850    0.00022    -0.5400
-1060    2455946.37823    0.00018    -0.6421
-1059    2455947.47015    0.00017    0.0792
-1058    2455948.56112    0.00034    -0.5675
-1055    2455951.83536    0.00011    -0.5924
-1054    2455952.92708    0.00013    -0.1591
-1048    2455959.47543    0.00017    -0.3961
-1038    2455970.38941    0.00040    -0.6998
-1037    2455971.48111    0.00035    -0.2953
-1027    2455982.39509    0.00034    -0.5990
-1026    2455983.48695    0.00035    0.0359
-1025    2455984.57797    0.00032    -0.5388
-1024    2455985.66975    0.00042    -0.0191
-1014    2455996.58378    0.00037    -0.2508
-1006    2456005.31533    0.00037    0.0332
-1005    2456006.40637    0.00033    -0.5127
 -786    2456245.42729    0.00033    -0.3129
 -782    2456249.79404    0.00039    1.2331
 -760    2456273.80514    0.00030    1.0602
 -752    2456282.53584    0.00030    0.1203
 -750    2456284.71857    0.00030    -0.0355
 -738    2456297.81605    0.00030    0.6138
 -734    2456302.18179    0.00046    0.7054
 -731    2456305.45536    0.00026    -0.2843
 -718    2456319.64424    0.00038    0.3375
 -710    2456328.37556    0.00027    0.2904
 -709    2456329.46733    0.00029    0.7957
 -457    2456604.50489    0.00021    0.7217
 -456    2456605.59624    0.00030    0.6222
 -455    2456606.68760    0.00034    0.5371
 -454    2456607.77938    0.00071    1.0569
 -434    2456629.60726    0.00019    0.3342
 -433    2456630.69917    0.00043    1.0411
 -411    2456654.71047    0.00034    1.1562
 -404    2456662.35014    0.00019    0.7766
 -403    2456663.44136    0.00019    0.4899
 -402    2456664.53256    0.00032    0.1744
 -390    2456677.63039    0.00032    1.3277
 -380    2456688.54384    0.00041    0.2607
 -359    2456711.46415    0.00026    0.9938
 -349    2456722.37807    0.00047    0.6036
 -107    2456986.50195    0.00043    1.2654
  -85    2457010.51298    0.00039    0.9918
  -83    2457012.69617    0.00049    1.4984
  -53    2457045.43831    0.00049    0.8752
  -52    2457046.53019    0.00049    1.5389
