#
# Density and circular speed profiles for three models
#  Jaffe (beta=4, gamma=2)
#  Hernquist (beta=4, gamma=1)
#  NFW (beta=3, gamma=1)
#
# Calculated by B. Ryden
# all are dimensionless, see Figure 6.3
#
   R/Rs             rho_Jaffe        rho_Hernquist    rho_NFW         vs_Jaffe         vs_Hernquist    vs_NFW            
   9.99999978E-03   9802.96094       97.0590134       98.0296021      0.995037138       7.00105652E-02   7.02361614E-02
   1.09647810E-02   8138.19336       88.2657013       89.2335052      0.994562328       7.32401088E-02   7.34879524E-02
   1.20226424E-02   6754.91162       80.2471085       81.2118912      0.994042337       7.66116381E-02   7.69023597E-02
   1.31825637E-02   5605.63525       72.9351730       73.8966522      0.993473232       8.01303908E-02   8.04601684E-02
   1.44543927E-02   4650.88135       66.2677994       67.2256622      0.992850304       8.38016197E-02   8.41917098E-02
   1.58489253E-02   3857.82178       60.1884079       61.1423302      0.992168486       8.76305997E-02   8.80728662E-02
   1.73779987E-02   3199.15894       54.6453552       55.5949821      0.991422594       9.16225910E-02   9.21413377E-02
   1.90545954E-02   2652.19556       49.5915642       50.5365143      0.990606666       9.57827717E-02   9.64012370E-02
   2.08929460E-02   2198.06348       44.9841652       45.9240189      0.989714444      0.100116260      0.100815296    
   2.29086578E-02   1821.07141       40.7839928       41.7183037      0.988738775      0.104628012      0.105425507    
   2.51188427E-02   1508.17700       36.9553871       37.8836632      0.987672269      0.109322764      0.110225908    
   2.75422595E-02   1248.53735       33.4658165       34.3875389      0.986506939      0.114204995      0.115237482    
   3.01994849E-02   1033.13770       30.2856159       31.2002258      0.985233843      0.119278848      0.120470472    
   3.31130736E-02   854.486572       27.3877831       28.2946777      0.983843625      0.124548040      0.125909835    
   3.63077596E-02   706.355896       24.7476673       25.6462002      0.982325971      0.130015746      0.131571412    
   3.98106650E-02   583.569519       22.3428097       23.2322903      0.980669975      0.135684580      0.137455076    
   4.36515212E-02   481.825928       20.1527367       21.0324345      0.978863776      0.141556293      0.143584162    
