#
# Circular speeds of disk models
#
#  Column 1: distance from center [units = disk scale length R_d]
#  Column 2: circular velocity - point disk [units = (GM_d/R_d)^1/2]
#  Column 3: circular velocity - spherical disk [units = (GM_d/R_d)^1/2]
#  Column 4: circular velocity - exponential disk [units = (GM_d/R_d)^1/2]
#
  R/Rd          vc_point     vc_sphere    vc_exp
  0.00499999989  14.1421366  0.0499146692  0.0083721457
  0.0210320652  6.89539337  0.101831071  0.0303737111
  0.0370641276  5.19425344  0.134469435  0.0497636795
  0.0530961901  4.33978605  0.160085425  0.0676526278
  0.0691282526  3.80340171  0.181690514  0.0844435319
  0.085160315  3.4267416  0.200595573  0.100354068
  0.101192378  3.14359164  0.217506677  0.115522675
  0.11722444  2.92072654  0.232865557  0.130046025
  0.13325651  2.73940206  0.246969953  0.14399603
  0.14928858  2.58813381  0.260029852  0.157428354
  0.16532065  2.45944118  0.272196412  0.17038767
  0.18135272  2.34821558  0.283591509  0.1829108
  0.19738479  2.25083232  0.294309705  0.195028543
  0.21341686  2.16463971  0.304426342  0.206767276
  0.229448929  2.08764648  0.314002186  0.218149737
  0.245480999  2.01832485  0.323090672  0.229195938
  0.261513054  1.95547974  0.331735075  0.239923462
  0.277545124  1.89816177  0.339972258  0.250348181
  0.293577194  1.84560549  0.347834975  0.260484219
  0.309609264  1.7971859  0.355350703  0.270344377
  0.325641334  1.75238788  0.362544954  0.279940426
  0.341673404  1.71078086  0.369439244  0.289283097
  0.357705474  1.67200351  0.37605226  0.298382103
  0.373737544  1.63574898  0.382402331  0.307246655
  0.389769614  1.60175467  0.388504416  0.315885216
  0.405801684  1.56979549  0.394372761  0.324305564
  0.421833754  1.53967595  0.400020033  0.33251518
  0.437865824  1.51122618  0.405458272  0.340520889
  0.453897893  1.48429728  0.410697997  0.348329157
  0.469929963  1.45875859  0.415749192  0.355946094
  0.485962033  1.43449438  0.420620292  0.363377482
  0.501994073  1.41140187  0.425320029  0.370628685
  0.518026114  1.38938999  0.429856598  0.377704948
  0.534058154  1.36837685  0.434236437  0.38461116
  0.550090194  1.34828913  0.43846646  0.391352117
  0.566122234  1.32906091  0.442553043  0.397932112
  0.582154274  1.31063259  0.446502209  0.404355317
  0.598186314  1.29295015  0.450319111  0.410626054
  0.614218354  1.2759645  0.454008698  0.416748047
  0.630250394  1.25963128  0.457576245  0.422725081
  0.646282434  1.2439096  0.461026192  0.428560704
  0.662314475  1.22876227  0.464362949  0.434258342
  0.678346515  1.2141552  0.467590183  0.439821303
  0.694378555  1.20005691  0.470711887  0.445252836
  0.710410595  1.18643856  0.473731965  0.450555921
  0.726442635  1.17327368  0.476653695  0.455733597
  0.742474675  1.16053748  0.479480147  0.460788667
  0.758506715  1.14820719  0.482214779  0.465724021
  0.774538755  1.13626182  0.48486051  0.470542133
  0.790570796  1.12468171  0.487420142  0.475245565
  0.806602836  1.1134485  0.489896238  0.479836971
  0.822634876  1.10254526  0.492291361  0.484318793
  0.838666916  1.09195626  0.494608283  0.488693297
  0.854698956  1.08166659  0.496849149  0.492962629
  0.870730996  1.07166243  0.499016285  0.497129202
  0.886763036  1.06193078  0.501111805  0.501195133
  0.902795076  1.05245948  0.503137946  0.505162418
  0.918827116  1.04323733  0.505096555  0.509033024
  0.934859157  1.03425324  0.506989419  0.512809277
  0.950891197  1.02549744  0.508818686  0.516492665
  0.966923237  1.01696026  0.510586083  0.520085216
  0.982955277  1.0086329  0.51229322  0.523588777
  0.998987317  1.00050676  0.513941705  0.527005136
  1.01501942  0.992573857  0.515533149  0.530335844
  1.03105152  0.984826684  0.517069161  0.533582747
  1.04708362  0.977258146  0.51855123  0.536747634
  1.06311572  0.969861567  0.519980729  0.539831698
  1.07914782  0.962630332  0.521358907  0.542836785
