#
# King model for 47 Tucanae: W0 = 8.6, rt = 40.1 arcmin,
# central surface density = 24400 stars/arcmin^2,
# background = 0.075 stars/arcmin^2
# 
# Column 1: log10 (r) in arcmin
# Column 2: log10 (Sigma) in stars/arcmin^2
#
  log_r             log_Sigma
  -3.40811801       4.38739109    
  -3.00811720       4.38738871    
  -2.60811758       4.38737392    
  -2.20811844       4.38727379    
  -1.80811703       4.38662958    
  -1.40811801       4.38298845    
  -1.37518990       4.38226652    
  -1.34226108       4.38142824    
  -1.30933595       4.38045359    
  -1.27640748       4.37932205    
  -1.24348056       4.37800884    
  -1.21055472       4.37648392    
  -1.17762697       4.37471533    
  -1.14469850       4.37266445    
  -1.11177158       4.37028837    
  -1.07884455       4.36753845    
  -1.04591751       4.36435699    
  -1.01299059       4.36067915    
 -0.980062485       4.35643435    
 -0.947135627       4.35154104    
 -0.914207757       4.34590864    
 -0.881280899       4.33943462    
 -0.848353684       4.33201075    
 -0.815426588       4.32351351    
 -0.782499313       4.31381321    
 -0.749571919       4.30277109    
 -0.716644645       4.29024220    
 -0.683717489       4.27607250    
 -0.650789976       4.26011372    
 -0.617862523       4.24221182    
 -0.584935784       4.22222614    
 -0.552008152       4.20002651    
 -0.519080758       4.17549944    
 -0.486153424       4.14855671    
 -0.453226268       4.11913919    
 -0.420298904       4.08721781    
 -0.387372792       4.05280828    
 -0.354443043       4.01595116    
 -0.321517020       3.97673917    
 -0.288589478       3.93528914    
 -0.255662978       3.89175320    
 -0.222735196       3.84630942    
 -0.189808980       3.79915571    
 -0.156879932       3.75049806    
 -0.123952813       3.70054841    
  -9.10269320E-02   3.64950991    
  -5.80992065E-02   3.59757781    
  -2.51725391E-02   3.54493976    
   7.75632542E-03   3.49175954    
   4.06834520E-02   3.43817019    
   7.36104026E-02   3.38428736    
  0.106537662       3.33020568    
  0.139465168       3.27599549    
  0.172391668       3.22170949    
  0.205319345       3.16737509    
  0.238246128       3.11298871    
  0.271173954       3.05853367    
  0.304101110       3.00397682    
  0.337028265       2.94927764    
  0.369955689       2.89437461    
  0.402882934       2.83920455    
  0.435810089       2.78368831    
  0.468737245       2.72775912    
  0.501664639       2.67132020    
  0.534591973       2.61423588    
  0.567519188       2.55638170    
  0.600445449       2.49762917    
  0.633373559       2.43784332    
  0.666299820       2.37687945    
  0.699227393       2.31458497    
  0.732155383       2.25080490    
  0.765082240       2.18540049    
  0.798010290       2.11823368    
  0.830938578       2.04904580    
  0.863865256       1.97753096    
  0.896791458       1.90342867    
  0.929719388       1.82644653    
  0.962647200       1.74626291    
  0.995574474       1.66252530    
   1.02850103       1.57485247    
   1.06142879       1.48289871    
   1.09435606       1.38633907    
   1.12728286       1.28444135    
   1.16021061       1.17612934    
   1.19313741       1.06044257    
   1.22606432      0.936212361    
   1.25899184      0.801995873    
   1.29191947      0.656005621    
   1.32484639      0.496009797    
   1.35777354      0.319238305    
   1.39070117      0.122351974    
   1.42362845      -9.82666388E-02
   1.45655560     -0.345042437    
   1.48948312     -0.613712907    
   1.52241039     -0.877449751    
   1.55533743      -1.06268978    
   1.58826637      -1.12172627    
   1.62119067      -1.12493873    
   1.65412068      -1.12493873    
   2.00000000      -1.12493873    
