#
# King model for NGC 6366: W0 = 4.85, rt = 20.63 arcmin,
# central surface density = 155 stars/arcmin^2, background = 1.38 stars/arcmin^2#
# Column 1: log10 (r) in arcmin
# Column 2: log10 (Sigma) in stars/arcmin^2
#
  log_r             log_Sigma
  -2.68464589       2.19418120    
  -2.28464699       2.19417787    
  -1.88464618       2.19416046    
  -1.48464596       2.19404626    
  -1.08464646       2.19331217    
 -0.684645891       2.18916464    
 -0.662255168       2.18861866    
 -0.639866829       2.18801212    
 -0.617477059       2.18734145    
 -0.595088840       2.18660307    
 -0.572698355       2.18578219    
 -0.550308108       2.18487144    
 -0.527920425       2.18386650    
 -0.505529761       2.18275309    
 -0.483141601       2.18151903    
 -0.460751712       2.18015671    
 -0.438361794       2.17864990    
 -0.415971786       2.17698359    
 -0.393582493       2.17514086    
 -0.371193588       2.17310500    
 -0.348804206       2.17085528    
 -0.326414615       2.16837382    
 -0.304024756       2.16563058    
 -0.281635791       2.16260958    
 -0.259245694       2.15927148    
 -0.236857086       2.15559769    
 -0.214466989       2.15154934    
 -0.192077085       2.14709663    
 -0.169688046       2.14219642    
 -0.147298679       2.13681436    
 -0.124908783       2.13090491    
 -0.102519915       2.12441850    
  -8.01304951E-02   2.11731410    
  -5.77411205E-02   2.10953259    
  -3.53516079E-02   2.10102677    
  -1.29621625E-02   2.09173965    
   9.42732021E-03   2.08161545    
   3.18171196E-02   2.07059360    
   5.42067029E-02   2.05860972    
   7.65962526E-02   2.04560208    
   9.89854932E-02   2.03151441    
  0.121375047       2.01628494    
  0.143764555       1.99984658    
  0.166153803       1.98214412    
  0.188543126       1.96312511    
  0.210932851       1.94272923    
  0.233322352       1.92091477    
  0.255711764       1.89763629    
  0.278100133       1.87285006    
  0.300491750       1.84652603    
  0.322878391       1.81863594    
  0.345269352       1.78915834    
  0.367659330       1.75808299    
  0.390047610       1.72540414    
  0.412437022       1.69110048    
  0.434826910       1.65520120    
  0.457216889       1.61771023    
  0.479606330       1.57861972    
  0.501996994       1.53796482    
  0.524385095       1.49578726    
  0.546773851       1.45210457    
  0.569164991       1.40692711    
  0.591553450       1.36029732    
  0.613943398       1.31225479    
  0.636332095       1.26284814    
  0.658721566       1.21213448    
  0.681111813       1.16017532    
  0.703500509       1.10704267    
  0.725890279       1.05282199    
  0.748280406      0.997616887    
  0.770670176      0.941551805    
  0.793058813      0.884780288    
  0.815448999      0.827489138    
  0.837837696      0.769908667    
  0.860227346      0.712322354    
  0.882617116      0.655069411    
  0.905006528      0.598559380    
  0.927396119      0.543277681    
  0.949785352      0.489830911    
  0.972175062      0.438806683    
  0.994564116      0.390697479    
   1.01695395      0.346065819    
   1.03934324      0.305465549    
   1.06173313      0.269390225    
   1.08412218      0.238244548    
   1.10651183      0.212071374    
   1.12890100      0.190652654    
   1.15129054      0.173834369    
   1.17368007      0.161236003    
   1.19606972      0.152230904    
   1.21845925      0.146240324    
   1.24084878      0.142645687    
   1.26323855      0.140772775    
   1.28562665      0.140038460    
   1.30801737      0.139882281    
   1.33040631      0.139879093    
   1.35279441      0.139879093    
   1.37518609      0.139879093    
   1.39757597      0.139879093    
   2.00000000      0.139879093    
