#
# Globular cluster r_t vs r_H
#
# r_t (arcsec) from Harris, W.E. 1996, AJ, 112, 1487 (2010 edition)
# Masses from Baumgardt, H. & Hilker, M. 2018 MNRAS, 478, 1520
# R_sun, R_pe from Baumgardt, H. Et al. 2019 MNRAS, 505, 5978, Table 1
#
# R_H computed by the author
#
# Units:
#  R_Sun - kpc
#  R_pe - kpc
#  r_t - arcsec
#  r_tpc - pc
#  mass - 10^5 Msun
#  r_H - pc
#  r_t/r_H - dimensionless
#
ID,R_Sun,R_pe,r_t,r_tpc,mass,r_H,r_t/r_H
NGC 104,4.43,5.46,2538.,54.51,7.79,84.77,0.643
NGC 288,9.98,3.33,791.6,38.30,1.16,32.31,1.185 
NGC 1261,15.49,1.41,303.5,22.79,1.67,20.57,1.108
Pal 2,27.20,2.49,345.6,45.57,3.35,37.91,1.202
NGC 1851,11.33,0.83,391.2,21.49,3.02,17.61,1.220
NGC 2298,10.80,1.86,446.2,23.36,0.116,10.17,2.297
NGC 2419,83.18,16.52,450.1,181.5,9.81,191.5,0.948
NGC 2808,10.21,0.97,544.6,26.96,7.42,26.36,1.023
E 3,8.09,9.11,630.9,24.74,0.306,40.54,0.610
Pal 3,92.50,65.31,240.4,107.8,0.615,190.2,0.567
NGC 3201,4.51,8.15,1521.,33.26,1.49,63.79,0.521
Pal 4,103.0,23.66,168.5,84.14,0.298,75.92,1.108
NGC 4147,18.20,1.92,365.1,32.21,0.329,14.71,2.190
NGC 4372,5.76,2.94,2095.,58.50,2.49,38.36,1.525
Rup 106,21.20,4.71,300.7,30.91,1.02,39.01,0.792
NGC 4590,10.13,8.86,894.5,43.93,1.23,63.27,0.694
NGC 4833,6.24,0.79,1067.,32.28,2.47,15.93,2.062
NGC 5024,17.90,9.09,1102.,95.63,3.80,93.73,1.020
NGC 5053,17.20,10.28,685.8,57.19,5.66,116.2,0.492
NGC 5139,5.24,1.35,2903.,73.75,3.55,25.70,2.870
NGC 5272,9.59,5.44,1723.,80.11,3.94,67.37,1.184
NGC 5286,11.45,1.16,431.8,23.97,4.01,24.19,0.991
